お遍路の番号,名前,名前（仮名）,正式名称,宗派,本尊,住所,緯度(北緯),経度(東経),電話番号,徒歩距離[km],車での距離[km](使用道路),駐車可能台数,駐車場,駐車場の位置,車でのアクセス,JRでのアクセス,ホテル,トイレ
1,霊山寺,りょうぜんじ,竺和山霊山寺,高野山真言宗,釈迦如来,徳島県大麻町板東126,34.15944444,134.503,0886-89-1111,1,約1km (県道12号),100,境内,高松自動車道板野ICから県道12号経由で約3km,JR高徳線板東駅から徒歩15分JR徳島駅から徳島バスで45分、霊山寺前下車すぐ,休止中,和:洋
2,極楽寺,ごくらくじ,日照山極楽寺,高野山真言宗,阿弥陀如来,徳島県鳴門市大麻町字檜ダンの上12,34.15602778,134.49025,0886-89-1112,2.7,約3.8km (県道12号),70,境内に隣接,高松自動車道板野ICから県道12号経由で約2km ,JR高徳線阿波川端駅から徒歩20分,一泊二食\6000(要予約),和:洋
3,金泉寺,こんせんじ,亀光山金泉寺,高野山真言宗,釈迦如来,徳島県板野郡板野町大寺66,34.14727778,134.4682778,0886-72-1087,5,約4km (県道1号),10,境内に隣接,高松自動車道板野ICから県道12号経由で約1.5km ,JR高徳線板野駅から、徒歩15分,休止中,和:洋
4,大日寺,だいにちじ,黒厳山大日寺,高野山真言宗,大日如来,徳島県板野郡板野町黒谷5,34.1515,134.4311667,0886-72-1225,2,約2km (県道12号),50,山門すぐ手前,高松自動車道板野ICから県道12号経由で約5km ,JR高徳線板野駅で下車、徳島バス鍛冶屋原行きに乗り換え羅漢で下車、徒歩30分,無し,和:洋
5,地蔵寺,じぞうじ,無尽山地蔵寺,真言宗御室派,勝軍地蔵菩薩,徳島県板野郡板野町羅漢字林東５,34.13716667,134.4323611,0886-72-4111,5,約5km (県道12号、139号),30,境内に隣接,高松自動車道板野ICから県道12号経由で約5km ,JR高徳線板野駅で下車、徳島バス鍛冶屋原行きに乗り換え羅漢で下車、徒歩5分,無し,和:洋（温水あり
6,安楽寺,あんらくじ,温泉山安楽寺,高野山真言宗,薬師如来,徳島県板野郡上板町引野寺の西北８,34.11811111,134.3883611,0886-94-2046,1,約1.5km (県道139号),100,境内まで徒歩1分,徳島自動車道土成ICから国道318号、県道139号経由で約3.5km ,JR高徳線板野駅で下車、徳島バス鍛冶屋原行きに乗り換え東原で下車、徒歩7分,一泊二食\5800(要予約),和:洋（バリアフリー対応)
7,十楽寺,じゅうらくじ,光明山十楽寺,高野山真言宗,阿弥陀如来,徳島県阿波市高尾法教田５８,34.12044444,134.3783056,0886-95-2150,4,約4km (県道139号),60,境内まで徒歩5分,徳島自動車道土成ICから国道318号、県道139号経由で約2.5km ,JR高徳線板野駅で下車、タクシーで20分,一泊二食\7000(要予約),洋
8,熊谷寺,くまだにじ,普明山熊谷寺,高野山真言宗,千手観世音,徳島県阿波市土成前田１８５,34.12288889,134.3400556,0886-95-2065,2.5,約2.5km ,50,境内まで徒歩3分,徳島自動車道土成ICから国道318号、県道139号経由で約2km,JR徳島本線鴨島駅で下車、タクシーで20分,無し,和:洋
9,法輪寺,ほうりんじ,正覚山法輪寺,高野山真言宗,釈迦如来（涅槃像）,徳島県阿波市土成田中９８－２,34.10422222,134.3334167,0886-95-2080,4,約4.5km (県道139号),30,境内まで徒歩1分,徳島自動車道土成ICから国道318号、県道12号経由で約2.5km ,JR徳島本線鴨島駅で下車、タクシー20分,無し,和
10,切幡寺,きりはたじ,得度山切幡寺,高野山真言宗,千手観世音,徳島県阿波市観音１２９,34.10752778,134.3040556,0883-36-3010,10,約12km  (国道318号),30,境内まで徒歩10分,徳島自動車道土成ICから国道318号、県道139号経由で約6km ,JR徳島本線鴨島駅で下車、タクシー30分,無し,和:洋
11,藤井寺,ふじいでら,金剛山藤井寺,臨済宗妙心寺派,薬師如来,徳島県吉野川市鴨島町飯尾１５２５,34.0515,134.3485278,0883-24-2384,12.5,約48km  (国道438号、県道43号),30,境内まで徒歩1分,徳島自動車道土成ICから国道318号、192号、県道242号経由で約8km ,JR徳島本線鴨島駅で下車、徒歩40分,無し,和:洋
12,焼山寺,しょうさんじ,摩盧山焼山寺,高野山真言宗,虚空蔵菩薩,徳島県名西郡神山町下分字地中３１８,33.98497222,134.3106389,0886-77-0112,21.5,約35km  (国道438号、県道21号),50,境内まで徒歩7分,徳島自動車道徳島ICから国道438号経由で約42km ,JR徳島駅から徳島バス神山線1時間10分、奇井中下車、神山町営バスに乗り換え15分、焼山寺下車、徒歩1時間30分,一泊二食\6000(3～5月、9～11月のみ要予約),和
13,大日寺,だいにちじ,大栗山大日寺,真言宗大覚寺派,十一面観世音,徳島県徳島市一宮町西丁３７６,34.03822222,134.4628056,0886-44-0069,2.5,約3km   (県道21号),30,境内まで徒歩2分,徳島自動車道藍住ICから県道1号、国道192号、県道21号経由で約13km ,JR徳島駅から徳島バス神山線で30分、一宮札所前下車すぐ,一泊二食\6000(要予約),和:洋
14,常楽寺,じょうらくじ,盛寿山常楽寺,高野山真言宗,弥勒菩薩,徳島県徳島市国府町延命６０６,34.05033333,134.4756667,0886-42-0471,1,約1km   (国道192号),10,境内まで徒歩2分,徳島自動車道藍住ICから県道1号、国道192号経由で約10km ,JR徳島駅から徳島バス神山線延命経由奇井中行きで25分、常楽寺前下車、徒歩5分,無し,和
15,国分寺,こくぶんじ,法養山国分寺,曹洞宗,薬師如来,徳島県徳島市国府町矢野７１８－１,34.05577778,134.4733333,0886-42-0525,2,約2km   (国道192号、県道123号),15,境内横,徳島自動車道藍住ICから県道1号、国道192号経由で約9km ,JR徳島駅から徳島バス延命経由奇井中行きで20分、国分寺前下車、徒歩10分,無し,和
16,観音寺,かんのんじ,光耀山観音寺,高野山真言宗,千手観世音,徳島県徳島市国府町字観音寺４９,34.06852778,134.4742222,0886-42-2375,3,約3.5km (県道号、29号),6,境内横,徳島自動車道藍住ICから県道1号、国道192号経由で約7km ,JR徳島駅から徳島バス鴨島線で20分、観音寺北下車、徒歩5分,無し,和
17,井戸寺,いどじ,瑠璃山井戸寺,真言宗善通寺派,七仏薬師如来,徳島県徳島市国府町井戸８０－１,34.08519444,134.4855278,0886-42-1324,20,約20km  (国道55号、県道30号),30,境内横,徳島自動車道藍住ICから県道1号、30号経由で約8.5km ,JR徳島駅から徳島バス日開経由覚円行きで20分、井戸寺口下車すぐ,休業中,和
18,恩山寺,おんざんじ,母養山恩山寺,高野山真言宗,薬師如来,徳島県小松島市田野町恩山寺谷４１,33.986,134.578,0885-33-1218,5,約4km   (県道136号),30,境内まで徒歩2分,徳島自動車道徳島ICから国道55号経由で約16km ,JR徳島駅から小松島市営バス立江萱原行きで35分、恩山寺前下車、徒歩10分,無し,和
19,立江寺,たつえじ,橋池山立江寺,高野山真言宗,延命地蔵菩薩,徳島県小松島市立江町字若松１３,33.96794444,134.6065,0885-37-1019,14,約15km (県道28号、22号、16号),50(\300),境内まで徒歩2分,徳島自動車道徳島ICから国道55号経由で約19km ,JR牟岐線立江駅下車、徒歩5分,一泊二食\6000(要予約),洋（バリアフリー）
20,鶴林寺,かくりんじ,霊鷲山鶴林寺,高野山真言宗,地蔵菩薩,徳島県勝浦郡勝浦町鶴山１４,33.91380556,134.5054444,0885-42-3020,6.5,約11.5km (県道19号),20(\300),境内に隣接,徳島自動車道徳島ICから国道55号、県道16号経由で約29km ,JR徳島駅から徳島バス横瀬西行きで55分、生名下車、徒歩1時間20分,休業中,和
21,太龍寺,たいりゅうじ,舎心山太龍寺,高野山真言宗,虚空蔵菩薩,徳島県阿南市加茂町龍山２,33.88186111,134.5205833,0884-62-2021,12,約14km  (国道195号、県道19号),200,境内まで徒歩3分,徳島自動車道徳島ICから国道55号、県道195号経由で約50km ,JR徳島駅から徳島バス丹生谷線川口営業所行きで1時間20分、和食東下車、徒歩10分でロープウェイ乗り場,無し,和:洋
22,平等寺,びょうどうじ,白水山平等寺,高野山真言宗,薬師如来,徳島県阿南市新野町秋山１７７,33.85219444,134.5823333,0884-36-3522,21,約23km  (国道55号),30,境内に隣接,徳島自動車道徳島ICから国道55号経由で約45km ,JR牟岐線で新野駅下車、徒歩30分,無し,和
23,薬王寺,やくおうじ,医王山薬王寺,高野山真言宗,薬師如来,徳島県海部郡日和佐町奥河内寺前２８５－１,33.73244444,134.5274722,0884-77-0023,77,約77km (国道55号),250,境内に隣接,徳島自動車道徳島ICから国道55号経由で約60km,JR牟岐線日和佐駅下車、徒歩10分,一泊二食\5800(要予約/宿泊電話0884-77-1105),和
24,最御崎寺（東寺）,ほつみさきじ（ひがしでら）,室戸山最御崎寺,真言宗豊山派,虚空蔵菩薩,高知県室戸市室戸岬町４０５８－１,33.24925,134.1759167,0887-23-0024,7,約6km   (国道55号),50,境内まで徒歩5分,高知自動車道南国ICから国道32号、55号経由で約70km,JR高知駅から高知東部交通バス2時間50分、室戸岬下車徒歩30分,一泊二食\5985,和:洋
25,津照寺（津寺）,しんしょうじ（つでら）,宝珠山津照寺,真言宗豊山派,揖取延命地蔵菩薩,高知県室戸市室津２６４４,33.28825,134.1484722,0887-23-0025,5,約5km   (国道55号),0,境内まで徒歩5分,高知自動車道南国ICから国道32号、55号経由で約65km,JR高知駅から高知東部交通バス2時間20分、室戸下車徒歩10分,無し,和
26,金剛頂寺（西寺）,こんごうちょうじ（にしでら）,龍頭山金剛頂寺,真言宗豊山派,薬師如来,高知県室戸市元乙５２３,33.30725,134.1225833,0887-23-0026,33,約33km (国道55号),30(\200),境内まで徒歩3分,高知自動車道南国ICから国道32号、55号経由で約60km,JR高知駅から高知東部交通バス2時間5分、元橋下車徒歩50分,一泊二食\5800(要予約),和
27,神峰寺,こうのみねじ,竹林山神峰寺,真言宗豊山派,十一面観世音,高知県安芸郡安田町唐の浜２５９４,33.46763889,133.9747222,0887-38-5495,42,約42km (国道55号),30(\300),境内まで徒歩5分,高知自動車道南国ICから国道32号、55号経由で約60km,JR高知駅から高知東部交通バス1時間20分、東谷入口下車徒歩1時間30分,無し,和:洋
28,大日寺,だいにちじ,法界山大日寺,真言宗智山派,大日如来,高知県香美郡野市町母代寺４７６,33.57777778,133.7055556,0887-56-0638,9,約12km (国道195号),30,境内まで徒歩3分,高知自動車道南国ICから国道32号、55号、県道364号、22号経由で約15km,土佐くろしお鉄道野市駅下車、徒歩20分,無し,和
29,国分寺,こくぶんじ,摩尼山国分寺,真言宗智山派,千手観世音,高知県南国市国分５４６,33.59888889,133.6402778,0888-62-0055,7,約11km (県道384号),50,境内まで徒歩3分,高知自動車道南国ICから国道32号、県道45号経由で約2km,JR土讃線後免駅下車、土佐電鉄バスに乗り換え15分、国分寺通下車徒歩5分,無し,和:洋
30,善楽寺,ぜんらくじ,百々山善楽寺,真言宗豊山派,阿弥陀如来,高知県高知市一宮２５０１,33.59194444,133.5778889,0888-46-4141,8,約10km (県道384号、44号),20,境内に隣接,高知自動車道高知ICから県道384号経由で約1km,JR土讃線土佐一宮駅下車、徒歩20分,無し,和:洋
31,竹林寺,ちくりんじ,五台山竹林寺,真言宗智山派,文殊菩薩,高知県高知市五台山３５７７,33.54663889,133.5774722,0888-82-3085,8,約8km  (県道32号、247号),70,境内まで徒歩2分,高知自動車道高知ICから県道44号経由で約7km,はりまや橋から土佐電鉄バス10分、青柳橋東詰下車、徒歩20分,無し,洋
32,禅師峰寺,ぜんじぶじ,八葉山禅師峰寺,真言宗豊山派,十一面観世音,高知県南国市十市３０８,33.52669444,133.6116944,0888-65-8430,9,約11km (県道14号、瀬戸大橋),20,境内に隣接,高知自動車道高知ICから県道247号、14号経由で約13km,はりまや橋バス停から土佐電鉄バス40分、峰寺通下車、徒歩20分,無し,和:洋
33,雪蹊寺,せつけいじ,高福山雪蹊寺,臨済宗妙心寺派,薬師如来,高知県高知市長浜８５７－３,33.50083333,133.5430556,0888-37-2233,8,約8km  (県道278､279号),20,境内まで徒歩1分,高知自動車道高知ICから県道34号経由で約14km,JR高知駅から高知県交通バス20分、長浜出張所下車、徒歩3分,無し,洋
34,種間寺,たねまじ,本尾山種間寺,真言宗豊山派,薬師如来,高知県吾川郡春野町秋山７２,33.49205556,133.4876944,0888-94-2234,10,約12km (国道56号県道279号),100,境内まで徒歩1分,高知自動車道高知ICから国道56号、県道279号経由で約9km,JR高知駅からタクシーで30分,無し,和:洋
35,清瀧寺,きよたきじ,医王山清滝寺,真言宗豊山派,薬師如来,高知県土佐市高岡町清滝５６８－１,33.51255556,133.4093611,0888-52-0316,15,約15km (県道39号、23号、47号),30,境内,高知自動車道土佐ICから3km,JR高知駅から徒歩10分の堺町バス停から高知駅交通バス55分、高岡営業所下車、徒歩40分,無し,和
36,青龍寺,しょうりゅうじ,独鈷山青龍寺,真言宗豊山派,波切不動明王,高知県土佐市宇佐町龍旧寺山６０１,33.42605556,133.4510833,0888-56-3010,58,約58km (国道56号、県道23号),20,境内,高知自動車道土佐ICから県道39号経由で約14km,JR高知駅前から、高知駅交通バスで1時間、スカイライン入口下車、徒歩40分,無し,和:洋
37,岩本寺,いわもとじ,藤井山岩本寺,真言宗智山派,阿弥陀如来 観世音菩薩 不動明王 薬師如来 地蔵菩薩,高知県高岡郡窪川町茂串３－１３,33.20811111,133.1346667,0880-22-0376,90,約95km (国道56号),12,境内まで徒歩5分,高知自動車道須崎東ICから国道56号経由で約40km,JR土讃線窪川駅下車、徒歩10分,一泊二食\6500(要予約),和:洋（温水あり）
38,金剛福寺,こんごうふくじ,蹉蛇山足摺山金剛福寺,真言宗豊山派,三面千手観音,高知県土佐清水市足摺岬２１４－１,32.72630556,133.0185,0880-88-0038,60,約60km (国道321号､56号、県道27号),80,境内まで徒歩2分,高知自動車道須崎東ICから国道56号､321号､県道348号経由で約135km,JR土讃線・土佐くろしお鉄道中村駅下車、高知西南交通バスに乗り換え1時間30分､足摺岬下車、徒歩5分,一泊二食\5800(予約者のみ),和:洋
39,延光寺,えんこうじ,赤亀山延光寺,真言宗智山派,薬師如来,高知県宿毛市平田町中山３９０,32.96119444,132.7742222,0880-66-2252,30,約30km (国道56号),70,境内まで徒歩2分,高知自動車道須崎東ICから国道56号経由で約100km,JR土讃線・土佐くろしお鉄道平田駅下車、徒歩35分,10名以上の団体のみ(要予約),和:洋
40,観自在寺,かんじざいじ,平城山観自在寺,真言宗大覚寺派,薬師如来,愛媛県南宇和郡愛南町御荘平城２２５３－１,32.96463889,132.5641667,0895-72-0416,60,約60km (国道56号、県道57号、31号),30,境内まで徒歩1分,松山自動車道西予宇和ICから国道56号経由で約50km,宇和島駅から宇和島バス1時間10分、平城札所前下車徒歩3分,休業中,和
41,龍光寺,りゅうこうじ,稲荷山龍光寺,真言宗御室派,十一面観音,愛媛県宇和島市三間町戸雁１７３,33.29522222,132.5982222,0895-58-2186,3,約3km  (県道31号),20,境内まで徒歩3分,松山自動車道西予宇和ICから県道29号、31号経由で約12km,JR予土線務田駅下車、徒歩15分,無し,和
42,佛木寺,ぶつもくじ,一山仏木寺,真言宗御室派,大日如来,愛媛県宇和島市三間町１６８３,33.31027778,132.5821944,8955-82-2162,11,約15km (県道31号、29号),15,門前,松山自動車道西予宇和ICから県道29号、31号経由で約10km,JR予讃線宇和島駅から宇和島バス40分、仏木寺下車,無し,和
43,明石寺,めいせきじ,源光山明石寺,天台寺門宗,千手観音,愛媛県西予市宇和町明石１０４,33.36908333,132.5190278,0894-62-0032,85,約90km (国道56号、379号、380号、33号),200,境内まで徒歩3分,松山自動車道西予宇和ICから県道29号、237号経由で約3km,JR予讃線卯之町駅下車、徒歩35分,あり(団体のみ),洋
44,大宝寺,だいほうじ,菅生山大宝寺,真言宗豊山派,十一面観音,愛媛県上浮穴郡久万高原町菅生二番耕地１１７３,33.66102778,132.9115833,0892-21-0044,10,約13km　(県道12号),30,境内まで徒歩10分,松山自動車道松山ICから国道33号、県道12号経由で約30km,伊予鉄松山駅から伊予鉄バスで久万下車(もしくはJR松山駅からJRバスで久万下車)、伊予鉄久万バスに乗り換え大宝寺口下車、徒歩5分,税込み1泊2食付　5、800\(要予約),和
45,岩屋寺,いわやじ,海岸山岩屋寺,真言宗豊山派,不動明王,愛媛県上浮穴郡久万高原町七鳥１４６８,33.65902778,132.98125,0892-57-0417,29,約40km　(国道33号),100(\200),境内まで徒歩20分,松山自動車道松山ICから国道33号、県道12号経由で約42km,伊予鉄松山駅から伊予鉄バスで久万下車(もしくはJR松山駅からJRバスで久万下車)、伊予鉄久万バスに乗り換え岩屋寺口下車、徒歩5分,休業中,和:洋
46,浄瑠璃寺,じょうるりじ,医王山浄瑠璃寺,真言宗豊山派,薬師如来,愛媛県松山市浄瑠璃町２８２,33.75355556,132.8188611,0899-63-0279,1,約1km　  (県道194号),8,境内まで徒歩1分,松山自動車道松山ICから国道33号、県道194号経由で約5km,伊予鉄松山駅から伊予鉄バスで50分浄瑠璃寺前下車すぐ,なし,和:洋
47,八坂寺,やさかじ,熊野山八坂寺,真言宗醍醐派,阿弥陀如来,愛媛県松山市浄瑠璃町八坂７７３,33.75805556,132.8130278,0899-63-0271,5,約5km　  (県道40号),30,境内まで徒歩1分,松山自動車道松山ICから国道33号、県道194号経由で約4km,伊予鉄松山駅から伊予鉄バスで45分は八坂寺前下車、徒歩5分,なし,和
48,西林寺,さいりんじ,清滝山西林寺,真言宗豊山派,十一面観音,愛媛県松山市高井町１００７,33.79361111,132.8136667,0899-72-0319,3,約3km　  (県道40号),30,境内に隣接,松山自動車道松山ICから国道33号、県道193号経由で約3.5km,伊予鉄横河原線久留米駅下車、タクシー10分,なし,和
49,浄土寺,じょうどじ,西林山浄土寺,真言宗豊山派,釈迦如来,愛媛県松山市鷹子町１１９８,33.81680556,132.8079167,0899-75-0173,3,約3km　  (松山東部環状線),15(\150),境内まで徒歩1分,松山自動車道松山ICから国道33号、県道40号経由で約9km,伊予鉄横河原線久留米駅下車、徒歩5分,なし,和
50,繁多寺,はんたじ,東山繁多寺,真言宗豊山派,薬師如来,愛媛県松山市畑寺町３２,33.82777778,132.8050278,0899-75-0910,3.5,約3.5km  (松山東部環状線),5,境内,松山自動車道松山ICから国道33号、松山東部環状線経由で約9km,JR松山駅から伊予鉄バス25分、繁多寺口下車、徒歩10分,なし,和
51,石手寺,いしてじ,熊野山石手寺,真言宗豊山派,薬師如来,愛媛県松山市石手２－９－２１,33.84788889,132.7964722,0899-77-0870,13,約13km　 (国道437号),80(\210/h),境内まで徒歩３分,松山自動車道松山ICから国道33号、松山東部環状線経由で約9km,JR松山駅から伊予鉄バス25分、繁多寺口下車、徒歩10分,なし,和:洋
52,太山寺,たいざんじ,瀧雲山太山寺,真言宗智山派,十一面観音,愛媛県松山市太山寺町１７３０,33.88502778,132.7150278,0899-78-0329,2.5,約2.5km  (辰巳伊代和気停車線),50,境内まで徒歩５分,松山自動車道松山ICから国道33号、松山東部環状線経由で約12km,JR松山駅から伊予鉄バス25分、石手寺口下車、徒歩10分,なし,和:洋
53,円明寺,えんみょうじ,須賀山円明寺,真言宗智山派,阿弥陀如来,愛媛県松山市和気町１－１８２,33.89177778,132.7396944,0899-78-1129,37,約37km   (国道196号),10,境内に隣接隣接,松山自動車道松山ICから国道33号192号437号経由で約16km,JR松山駅から伊予鉄バス25分、大山寺口下車、徒歩10分,なし,和
